0,Date
Vanaf 1 juni Afgelopen kalender week1,2020-09-22
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-09-22
Kinderen 0-6 jaar 117 14950 0.8 11 829 1.3,2020-09-22
Kinderen 7-12 jaar 665 80179 0.8 180 10010 1.8,2020-09-22
Kinderen 13-18 jaar 2354 115514 2.0 689 22762 3.0,2020-09-22
