0,1,2,3,Date
Groep,Aantal positief,Aantal getest,Percentage positief,2020-07-21
Kinderen 0-6 jaar,5,898,0.6,2020-07-21
Kinderen 7-12 jaar,23,6221,0.4,2020-07-21
Kinderen 13-18 jaar,61,4864,1.3,2020-07-21
Onderwijs- of kinderopvang personeel,34,9079,0.4,2020-07-21
