Leeftijdsgroep,2021-01-12 00:00:00,2,Date
0 - 12,174647 22638 13.0,7064 1335 18.9,2021-01-12
13 - 17,486969 58404 12.0,13601 2452 18.0,2021-01-12
18 - 24,745198 98023 13.2,48838 6835 14.0,2021-01-12
25 - 29,541677 58799 10.9,33816 3735 11.0,2021-01-12
30 - 39,1082281 99792 9.2,56391 5535 9.8,2021-01-12
40 - 49,867592 106216 12.2,46622 5494 11.8,2021-01-12
50 - 59,777121 118463 15.2,54469 7409 13.6,2021-01-12
60 - 69,524531 69547 13.3,36996 4861 13.1,2021-01-12
70+,304316 49100 16.1,26127 3898 14.9,2021-01-12
