0,Date
Vanaf 31 augustus Afgelopen kalender week1,2020-12-08
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-12-08
Kinderen 0-3 jaar2 3598 282 7.8 417 51 12.2,2020-12-08
Kinderen 4-12 jaar2 102034 9614 9.4 11515 1770 15.4,2020-12-08
Kinderen 13-17 jaar2 341563 34373 10.1 37084 4707 12.7,2020-12-08
Jongvolwassenen 18-24 jaar 481090 63264 13.2 40781 4699 11.5,2020-12-08
Zorgmedewerkers verpleeg- of 54815 6414 11.7 5359 755 14.1,2020-12-08
Basisschool- en BSO personeel 107375 8049 7.5 10265 809 7.9,2020-12-08
Overige niet-contact beroepen 626326 67745 10.8 63623 6320 9.9,2020-12-08
