0,Date
Vanaf 1 juni Afgelopen kalender week1,2020-10-06
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-10-06
Kinderen 0-3 jaar2 61 6843 0.9 7 55 12.7,2020-10-06
Kinderen 4-11 jaar2 725 78666 0.9 46 610 7.5,2020-10-06
Kinderen 12-17 jaar 4650 198751 2.3 749 13317 5.6,2020-10-06
