0,Date
Vanaf 1 juni Afgelopen kalender week1,2020-09-15
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-09-15
Kinderen 0-6 jaar 105 14074 0.7 18 1214 1.5,2020-09-15
Kinderen 7-12 jaar 476 69644 0.7 142 12720 1.1,2020-09-15
Kinderen 13-18 jaar 1617 90405 1.8 421 21639 1.9,2020-09-15
