0,1,2,3,Date
Groep Aantal Aantal,Percentage Aantal,Aantal Percentage,,2020-08-25
Kinderen 0-6 jaar 61 10978,0.6,10 730,1.4,2020-08-25
Kinderen 7-12 jaar 220 40574,0.5,36 4491,0.8,2020-08-25
Kinderen 13-18 jaar 797 43049,1.9 163,8210,2.0,2020-08-25
