Leeftijdsgroep,2021-01-05 00:00:00,2,Date
0 - 12,167579 21301 12.7,8657 1742 20.1,2021-01-05
13 - 17,473356 55948 11.8,15153 2915 19.2,2021-01-05
18 - 24,696303 91177 13.1,43778 6132 14.0,2021-01-05
25 - 29,507837 55063 10.8,34989 3940 11.3,2021-01-05
30 - 39,1025833 94252 9.2,64590 6651 10.3,2021-01-05
40 - 49,820933 100719 12.3,52108 7033 13.5,2021-01-05
50 - 59,722609 111046 15.4,57488 8662 15.1,2021-01-05
60 - 69,487499 64681 13.3,42847 5735 13.4,2021-01-05
70+,278168 45201 16.2,29570 4882 16.5,2021-01-05
