0,Date
Vanaf 1 juni Afgelopen kalender week1,2020-11-03
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-11-03
Kinderen 0-3 jaar2 151 7793 1.9 19 251 7.6,2020-11-03
Kinderen 4-11 jaar2 2695 89353 3.0 557 2548 21.9,2020-11-03
Kinderen 12-17 jaar2 19447 302758 6.4 3818 21756 17.5,2020-11-03
