0,Date
Vanaf 1 juni Afgelopen kalender week1,2020-10-27
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-10-27
Kinderen 0-3 jaar2 128 7535 1.7 26 224 11.6,2020-10-27
Kinderen 4-11 jaar2 2098 86724 2.4 559 2582 21.6,2020-10-27
Kinderen 12-17 jaar2 15556 281430 5.5 3423 17003 20.1,2020-10-27
