Leeftijdsgroep,2020-12-29 00:00:00,Date
0 - 12 158897 19554 12.3 13253 2563,19.3,2020-12-29
13 - 17 458119 53007 11.6 22473 4283,19.1,2020-12-29
18 - 24 652289 85013 13.0 51792 6593,12.7,2020-12-29
25 - 29 472692 51104 10.8 41380 3913,9.5,2020-12-29
30 - 39 960965 87549 9.1 79526 7280,9.2,2020-12-29
40 - 49 768592 93647 12.2 65588 8368,12.8,2020-12-29
50 - 59 664887 102348 15.4 62552 9482,15.2,2020-12-29
60 - 69 444491 58921 13.3 43811 5862,13.4,2020-12-29
70+ 248513 40301 16.2 28476 4754,16.7,2020-12-29
