0,Date
Vanaf 1 juni Afgelopen kalender week1,2020-10-13
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-10-13
Kinderen 0-3 jaar2 78 7031 1.1 13 136 9.6,2020-10-13
Kinderen 4-11 jaar 1047 81045 1.3 235 1626 14.5,2020-10-13
Kinderen 12-17 jaar 8237 237230 3.5 2570 23917 10.7,2020-10-13
