0,1,2,3,Date
Groep Aantal Aantal,Percentage,Aantal Aantal Percentage,,2020-08-18
Kinderen 0-6 jaar 51 10202,0.5,7 538,1.3,2020-08-18
Kinderen 7-12 jaar 182 35752,0.5,34 2602,1.3,2020-08-18
Kinderen 13-18 jaar 614 34024,1.8,176 7172,2.5,2020-08-18
