Leeftijdsgroep,2020-12-22 00:00:00,Date
0 - 12 145525 16953 11.6 17170 3082,17.9,2020-12-22
13 - 17 435349 48657 11.2 39808 6544,16.4,2020-12-22
18 - 24 600098 78348 13.1 63095 7959,12.6,2020-12-22
25 - 29 431047 47147 10.9 44829 4792,10.7,2020-12-22
30 - 39 880918 80190 9.1 87227 8776,10.1,2020-12-22
40 - 49 702498 85175 12.1 75341 10419,13.8,2020-12-22
50 - 59 601882 92769 15.4 69537 11316,16.3,2020-12-22
60 - 69 400337 52992 13.2 48589 6769,13.9,2020-12-22
70+ 219843 35486 16.1 30832 5224,16.9,2020-12-22
