0,1,2,3,Date
Groep Aantal Aantal,Percentage Aantal,Aantal Percentage,,2020-09-01
Kinderen 0-6 jaar 71 11981,0.6,8 947,0.8,2020-09-01
Kinderen 7-12 jaar 260 47622,0.5,33 6621,0.5,2020-09-01
Kinderen 13-18 jaar 972 54023,1.8 158,10201,1.5,2020-09-01
