0,Date
Vanaf 1 juni Afgelopen kalender week1,2020-12-01
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-12-01
Kinderen 0-3 jaar2 246 8779 2.8 27 270 10.0,2020-12-01
Kinderen 4-11 jaar2 4872 102717 4.7 723 4748 15.2,2020-12-01
Kinderen 12-17 jaar2 32652 398397 8.2 3680 31511 11.7,2020-12-01
