Leeftijdsgroep,2021-02-16 00:00:00,Date
0 - 3,7278 984 13.5 1246 165 13.2,2021-02-16
4 - 12,119195 19177 16.1 13631 1394 10.2,2021-02-16
13 - 17,225670 34631 15.3 6981 1114 16.0,2021-02-16
18 - 24,442310 54959 12.4 22094 2597 11.8,2021-02-16
25 - 29,328892 33225 10.1 17959 1727 9.6,2021-02-16
30 - 39,642741 58847 9.2 36919 3199 8.7,2021-02-16
40 - 49,533893 63193 11.8 28168 3047 10.8,2021-02-16
50 - 59,542270 75936 14.0 29497 3924 13.3,2021-02-16
60 - 69,383653 48478 12.6 20881 2575 12.3,2021-02-16
70+,251134 36818 14.7 12707 1611 12.7,2021-02-16
