0,Date
Vanaf 1 juni Afgelopen kalender week1,2020-10-20
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-10-20
Kinderen 0-3 jaar2 97 7262 1.3 17 183 9.3,2020-10-20
Kinderen 4-11 jaar3 1441 83728 1.7 334 2146 15.6,2020-10-20
Kinderen 12-17 jaar4 11427 261347 4.4 2787 20072 13.9,2020-10-20
