0,Date
Vanaf 1 juni Afgelopen kalender week1,2020-11-17
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-11-17
Kinderen 0-3 jaar2 206 8297 2.5 23 229 10.0,2020-11-17
Kinderen 4-11 jaar2 3736 95186 3.9 497 2860 17.4,2020-11-17
Kinderen 12-17 jaar2 25902 345091 7.5 3030 19994 15.2,2020-11-17
