0,Date
Vanaf 1 juni Afgelopen kalender week1,2020-11-24
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-11-24
Kinderen 0-3 jaar2 228 8564 2.7 22 267 8.2,2020-11-24
Kinderen 4-11 jaar2 4277 98657 4.3 541 3467 15.6,2020-11-24
Kinderen 12-17 jaar2 29762 371463 8.0 3853 26339 14.6,2020-11-24
