0,1,2,3,Date
Groep,Aantal,Aantal,Percentage,2020-09-08
Kinderen 0-6 jaar,97,12863,0.8,2020-09-08
Kinderen 7-12 jaar,343,57109,0.6,2020-09-08
Kinderen 13-18 jaar,1367,76340,1.8,2020-09-08
