0,Date
Vanaf 1 juni Afgelopen kalender week1,2020-09-29
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-09-29
Kinderen 0-3 jaar 54 6765 0.8 1 72 1.4,2020-09-29
Kinderen 4-11 jaar 645 77733 0.8 62 1151 5.4,2020-09-29
Kinderen 12-17 jaar 3486 177369 2.0 867 23414 3.7,2020-09-29
