0,Date
Vanaf 1 juni Afgelopen kalender week1,2020-11-10
Groep Aantal Aantal Percentage Aantal Aantal Percentage,2020-11-10
Kinderen 0-3 jaar2 181 8052 2.2 28 225 12.4,2020-11-10
Kinderen 4-11 jaar2 3180 91989 3.5 462 2569 18.0,2020-11-10
Kinderen 12-17 jaar2 22341 322236 6.9 2843 19317 14.7,2020-11-10
