Leeftijdsgroep,2021-03-23 00:00:00,Date
0 - 3,28281 2325 8.2 6501 342 5.3,2021-03-23
4 - 12,421006 35681 8.5 103305 4982 4.8,2021-03-23
13 - 17,316841 44197 13.9 30664 2881 9.4,2021-03-23
18 - 24,643921 75873 11.8 52200 5265 10.1,2021-03-23
25 - 29,476619 45457 9.5 36547 3231 8.8,2021-03-23
30 - 39,1002277 82358 8.2 90050 5971 6.6,2021-03-23
40 - 49,811688 85779 10.6 73794 6089 8.3,2021-03-23
50 - 59,776012 101421 13.1 56933 6287 11.0,2021-03-23
60 - 69,560869 64316 11.5 42908 3841 9.0,2021-03-23
70+,358859 47791 13.3 24107 2505 10.4,2021-03-23
